,time,d_A11,,d11,,time,c_A11,,c11,,time,d_A12,,d12,,time,c_A12,,c12,,time,d_A14,,d14,,time,c_A14,,c14,
set1,0.0244101215,0.939773406,0.0500117781,0.8632103519,0.070380342,0.0310058773,0.8728405795,0.0766463581,0.7915836999,0.0971517271,0.0315122564,0.640913041,0.0142401291,0.5363527142,0.0160768913,0.0419694045,0.580978231,0.0197223826,0.4931300213,0.0188704942,0.0569950144,0.6200914276,0.0230533971,0.5356539129,0.0261482561,0.0752260853,0.6226036978,0.0292309937,0.5341513817,0.0316219707
set2,0.0270891359,0.7055972682,0.0233864203,0.6352081243,0.0259696106,0.0345019826,0.7664406598,0.0453012417,0.6899053634,0.0547901576,0.0374483375,0.6443518204,0.0083271468,0.5487496673,0.008319179,0.0492417162,0.5865065628,0.0116657017,0.4975160381,0.0107618352,0.0659604142,0.6288008079,0.0113344554,0.5411316563,0.011301391,0.0908579644,0.6262448098,0.0131437818,0.5336286178,0.0142628799
set3,0.0289500264,0.7412587398,0.02073082,0.6386129099,0.0259661624,0.036652766,0.8090212044,0.0533045266,0.7205364268,0.0656333116,0.0367953694,0.6463294098,0.0101479501,0.5397905506,0.0099279658,0.0481502559,0.6541530415,0.0107805023,0.5538798418,0.0113024527,0.0682621136,0.668366902,0.0098110096,0.5564084755,0.0103457824,0.0915728451,0.6692658782,0.0107301557,0.557764476,0.0119544883
set4,0.0197697942,0.8214095399,0.0816603336,0.6676347552,0.1289063722,0.0235993369,0.7414064464,0.1293513452,0.6487961547,0.1437155671,0.0247315034,0.5293413131,0.0112399223,0.3775469692,0.0109825481,0.0313815466,0.4706408122,0.0144950919,0.3741291958,0.0116803236,0.0446889989,1.0172238521,0.1320583309,0.9074736042,0.1958119254,0.0579560431,1.0114052128,0.1370529792,0.9101153134,0.1945067098
set5,0.0300331917,0.9314056388,0.0594713939,0.8546129325,0.0828621405,0.0366901297,0.8985051484,0.0757142157,0.8469445102,0.0930097502,0.0283360544,0.9318571211,0.0660677925,0.8682860762,0.0895866031,0.0361542141,0.8949102415,0.0840341255,0.8475268328,0.1017128478,0.0479274864,0.6860826152,0.0310029866,0.6282149041,0.0383591499,0.0662209886,0.6537847637,0.0376172621,0.6067227097,0.0433942725
set6,0.0221018619,0.6026676226,0.0201020465,0.4569394951,0.0313194855,0.0273254584,0.5379533488,0.0261631742,0.445502729,0.0326019854,0.0291690417,0.587911645,0.0155841721,0.4549084361,0.0239780586,0.0372929947,0.5394419072,0.020088085,0.4469862486,0.0250690378,0.0522512017,0.4906325132,0.0046000652,0.3527089704,0.0042633952,0.0718737089,0.4357587804,0.0051038075,0.3375065157,0.0046300919
set7,0.0244029427,0.7692602524,0.0280795427,0.6888067566,0.0388411392,0.0311342152,0.6772582411,0.0437686313,0.6229482646,0.0521148245,0.0308902638,0.7183593604,0.0440969472,0.6489222242,0.0598635344,0.0390353141,0.673878953,0.0608476268,0.6099357619,0.0726138633,0.05594177,0.6130009381,0.0260337951,0.5541505658,0.032273577,0.0726271804,0.5957520679,0.0376084766,0.5476437326,0.0437830098
set8,0.0249322752,0.8235174515,0.0402521187,0.7657311028,0.0489776397,0.0315389722,0.7757470498,0.0430879591,0.7241844404,0.0503757665,0.0289070826,0.7093383887,0.0462023202,0.6248243276,0.0539918576,0.038864581,0.6813918151,0.0506636722,0.6152359832,0.0559097639,0.0532081772,0.6155131061,0.0212342756,0.5397968024,0.0223447943,0.0717699578,0.6142326379,0.0314933891,0.5507401778,0.0333461012
set9,0.0262161643,0.6963239567,0.0352262469,0.612212361,0.0432451994,0.0352609097,0.6570317347,0.0420513148,0.5956156483,0.0473810008,0.0311768366,0.7291108129,0.058607218,0.6490385433,0.0729281154,0.0413020501,0.7150543393,0.0629919568,0.6413759456,0.0774206504,0.0576479569,0.6045051208,0.020632027,0.5239785971,0.0218320021,0.0802522913,0.5894150721,0.0266792426,0.5179522332,0.0287899549
set10,0.0219254814,0.7327629956,0.0387275051,0.6389750993,0.0485128564,0.0266494567,0.6791324821,0.0483123295,0.6129317452,0.0540592683,0.0295371988,0.8621436886,0.0749122735,0.7752876608,0.0919155557,0.0385583397,0.8245476025,0.0913478798,0.7536606968,0.1006863517,0.0519425846,0.7953216338,0.0624924632,0.7014048557,0.077032008,0.0711572147,0.6627836442,0.039698065,0.5834779441,0.041224329
set11,0.0319363553,0.9986253965,0.0855360479,0.9409797568,0.1088978765,0.0381832361,0.9766131467,0.1080049771,0.9312902094,0.1246126864,0.0302757957,0.8128089736,0.0540680585,0.7227180342,0.070335553,0.038068353,0.7477909563,0.0697041721,0.6906510918,0.0771883341,0.0565999388,0.7088084177,0.0292628757,0.6119463507,0.0348301396,0.0752316429,0.6695493643,0.0303391675,0.5844757278,0.0340346527
set12,0.0267693075,0.9262735704,0.054937105,0.8257170216,0.0774692037,0.033632653,0.8896934988,0.0711252077,0.8026666108,0.0914293755,0.0305708317,0.9234431133,0.0525685618,0.8312062624,0.0758565757,0.0411109665,0.8959480265,0.066198866,0.8131755557,0.0889254537,0.0529538042,0.6919400231,0.0226826227,0.604540159,0.0317373228,0.0731116717,0.6721736838,0.027400017,0.5925106895,0.035951409
set13,0.022420493,0.7174138683,0.0160254353,0.5908770511,0.0228412523,0.0289512211,0.6892999833,0.0263265987,0.6048367918,0.0327399679,0.0285148051,0.7020989917,0.0206366705,0.6009655378,0.0259364389,0.036962696,0.6695068715,0.0272714168,0.5754358366,0.0352149875,0.054300289,0.5920741407,0.0098457018,0.4957519656,0.0112439471,0.0743940569,0.5969359829,0.0136782959,0.4995693061,0.0169793744
set14,0.0313393848,0.9908451704,0.0634412524,0.9483309818,0.0771641201,0.0335752427,0.8915708792,0.0663940382,0.8568591986,0.0730635339,0.0325969786,0.8630567549,0.0577979787,0.8133731564,0.070636157,0.0420415106,0.7886997956,0.0581518563,0.7600583967,0.060530272,0.0584900491,0.7258415847,0.0352827584,0.6685374376,0.0427931056,0.0773324521,0.7179863461,0.0454101371,0.6814577057,0.0499840693
set15,0.030134502,1.0351102958,0.0670106988,0.9737906168,0.0816412735,0.0330131136,0.9547444406,0.0508035321,0.8817629731,0.0629203296,0.028888375,0.8291091613,0.0267480168,0.7401687133,0.0339209619,0.0392987396,0.7784589654,0.0340064696,0.6800678578,0.0462670295,0.0528846449,0.626410145,0.0086690657,0.5230824767,0.0103173118,0.0719185879,0.6126938224,0.009904457,0.5007227499,0.01137729
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,time,d_A11,,d11,,time,c_A11,,c11,,time,d_A12,,d12,,time,c_A12,,c12,,time,d_A14,,d14,,time,c_A14,,c14,
set1,0.024,0.940,0.050,0.863,0.070,0.031,0.873,0.077,0.792,0.097,0.032,0.641,0.014,0.536,0.016,0.042,0.581,0.020,0.493,0.019,0.057,0.620,0.023,0.536,0.026,0.075,0.623,0.029,0.534,0.032
set2,0.027,0.706,0.023,0.635,0.026,0.035,0.766,0.045,0.690,0.055,0.037,0.644,0.008,0.549,0.008,0.049,0.587,0.012,0.498,0.011,0.066,0.629,0.011,0.541,0.011,0.091,0.626,0.013,0.534,0.014
set3,0.029,0.741,0.021,0.639,0.026,0.037,0.809,0.053,0.721,0.066,0.037,0.646,0.010,0.540,0.010,0.048,0.654,0.011,0.554,0.011,0.068,0.668,0.010,0.556,0.010,0.092,0.669,0.011,0.558,0.012
set4,0.020,0.821,0.082,0.668,0.129,0.024,0.741,0.129,0.649,0.144,0.025,0.529,0.011,0.378,0.011,0.031,0.471,0.014,0.374,0.012,0.045,1.017,0.132,0.907,0.196,0.058,1.011,0.137,0.910,0.195
set5,0.030,0.931,0.059,0.855,0.083,0.037,0.899,0.076,0.847,0.093,0.028,0.932,0.066,0.868,0.090,0.036,0.895,0.084,0.848,0.102,0.048,0.686,0.031,0.628,0.038,0.066,0.654,0.038,0.607,0.043
set6,0.022,0.603,0.020,0.457,0.031,0.027,0.538,0.026,0.446,0.033,0.029,0.588,0.016,0.455,0.024,0.037,0.539,0.020,0.447,0.025,0.052,0.491,0.005,0.353,0.004,0.072,0.436,0.005,0.338,0.005
set7,0.024,0.769,0.028,0.689,0.039,0.031,0.677,0.044,0.623,0.052,0.031,0.718,0.044,0.649,0.060,0.039,0.674,0.061,0.610,0.073,0.056,0.613,0.026,0.554,0.032,0.073,0.596,0.038,0.548,0.044
set8,0.025,0.824,0.040,0.766,0.049,0.032,0.776,0.043,0.724,0.050,0.029,0.709,0.046,0.625,0.054,0.039,0.681,0.051,0.615,0.056,0.053,0.616,0.021,0.540,0.022,0.072,0.614,0.031,0.551,0.033
set9,0.026,0.696,0.035,0.612,0.043,0.035,0.657,0.042,0.596,0.047,0.031,0.729,0.059,0.649,0.073,0.041,0.715,0.063,0.641,0.077,0.058,0.605,0.021,0.524,0.022,0.080,0.589,0.027,0.518,0.029
set10,0.022,0.733,0.039,0.639,0.049,0.027,0.679,0.048,0.613,0.054,0.030,0.862,0.075,0.775,0.092,0.039,0.825,0.091,0.754,0.101,0.052,0.795,0.062,0.701,0.077,0.071,0.663,0.040,0.583,0.041
set11,0.032,0.999,0.086,0.941,0.109,0.038,0.977,0.108,0.931,0.125,0.030,0.813,0.054,0.723,0.070,0.038,0.748,0.070,0.691,0.077,0.057,0.709,0.029,0.612,0.035,0.075,0.670,0.030,0.584,0.034
set12,0.027,0.926,0.055,0.826,0.077,0.034,0.890,0.071,0.803,0.091,0.031,0.923,0.053,0.831,0.076,0.041,0.896,0.066,0.813,0.089,0.053,0.692,0.023,0.605,0.032,0.073,0.672,0.027,0.593,0.036
set13,0.022,0.717,0.016,0.591,0.023,0.029,0.689,0.026,0.605,0.033,0.029,0.702,0.021,0.601,0.026,0.037,0.670,0.027,0.575,0.035,0.054,0.592,0.010,0.496,0.011,0.074,0.597,0.014,0.500,0.017
set14,0.031,0.991,0.063,0.948,0.077,0.034,0.892,0.066,0.857,0.073,0.033,0.863,0.058,0.813,0.071,0.042,0.789,0.058,0.760,0.061,0.058,0.726,0.035,0.669,0.043,0.077,0.718,0.045,0.681,0.050
set15,0.030,1.035,0.067,0.974,0.082,0.033,0.955,0.051,0.882,0.063,0.029,0.829,0.027,0.740,0.034,0.039,0.778,0.034,0.680,0.046,0.053,0.626,0.009,0.523,0.010,0.072,0.613,0.010,0.501,0.011
